Address:,USB0::0x0957::0x179B::MY54313426::0::INSTR,,Analog Channels,,,,Function Channels,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),,Time (s),M1,
,,,-0.001708333465,-0.085777404718101,0.153486160561442,,-0.001708333465,2.12500094622374,
,,,-0.0016666668,-0.080752280075103,0.153486160561442,,-0.0016666668,2.12500094622374,
,,,-0.001625000135,-0.080752280075103,0.153486160561442,,-0.001625000135,2.12500094622374,
,,,-0.00158333347,-0.0757271554321051,0.153486160561442,,-0.00158333347,2.12500094622374,
,,,-0.001541666805,-0.085777404718101,0.153486160561442,,-0.001541666805,2.12500094622374,
,,,-0.00150000014,-0.085777404718101,0.153486160561442,,-0.00150000014,2.12500094622374,
,,,-0.001458333475,-0.0757271554321051,0.153486160561442,,-0.001458333475,2.12500094622374,
,,,-0.00141666681,-0.080752280075103,0.153486160561442,,-0.00141666681,2.12500094622374,
,,,-0.001375000145,-0.080752280075103,0.153486160561442,,-0.001375000145,2.12500094622374,
,,,-0.00133333348,-0.080752280075103,0.153486160561442,,-0.00133333348,2.12500094622374,
,,,-0.001291666815,-0.0757271554321051,0.153486160561442,,-0.001291666815,2.12500094622374,
,,,-0.00125000015,-0.080752280075103,0.153486160561442,,-0.00125000015,2.12500094622374,
,,,-0.001208333485,-0.080752280075103,0.153486160561442,,-0.001208333485,2.12500094622374,
,,,-0.00116666682,-0.080752280075103,0.153486160561442,,-0.00116666682,2.12500094622374,
,,,-0.001125000155,-0.080752280075103,0.153486160561442,,-0.001125000155,2.12500094622374,
,,,-0.00108333349,-0.080752280075103,0.153486160561442,,-0.00108333349,2.12500094622374,
,,,-0.001041666825,-0.080752280075103,0.153486160561442,,-0.001041666825,2.12500094622374,
,,,-0.00100000016,-0.080752280075103,0.153486160561442,,-0.00100000016,2.12500094622374,
,,,-0.000958333495,-0.080752280075103,0.153486160561442,,-0.000958333495,2.12500094622374,
,,,-0.00091666683,-0.080752280075103,0.153486160561442,,-0.00091666683,2.12500094622374,
,,,-0.000875000165,-0.080752280075103,0.153486160561442,,-0.000875000165,2.12500094622374,
,,,-0.0008333335,-0.080752280075103,0.153486160561442,,-0.0008333335,2.12500094622374,
,,,-0.000791666835,-0.080752280075103,0.153486160561442,,-0.000791666835,2.12500094622374,
,,,-0.00075000017,-0.080752280075103,0.153486160561442,,-0.00075000017,2.12500094622374,
,,,-0.000708333505,-0.0757271554321051,0.153486160561442,,-0.000708333505,2.12500094622374,
,,,-0.00066666684,-0.080752280075103,0.153486160561442,,-0.00066666684,2.12500094622374,
,,,-0.000625000174999999,-0.0757271554321051,0.153486160561442,,-0.000625000174999999,2.12500094622374,
,,,-0.00058333351,-0.080752280075103,0.153486160561442,,-0.00058333351,2.12500094622374,
,,,-0.000541666845,-0.080752280075103,0.153486160561442,,-0.000541666845,2.12500094622374,
,,,-0.00050000018,-0.080752280075103,0.153486160561442,,-0.00050000018,2.12500094622374,
,,,-0.000458333515,-0.080752280075103,0.153486160561442,,-0.000458333515,2.12500094622374,
,,,-0.00041666685,-0.0757271554321051,0.153486160561442,,-0.00041666685,2.12500094622374,
,,,-0.000375000185,-0.080752280075103,0.153486160561442,,-0.000375000185,2.12500094622374,
,,,-0.00033333352,-0.080752280075103,0.153486160561442,,-0.00033333352,2.12500094622374,
,,,-0.000291666855,-0.0757271554321051,0.153486160561442,,-0.000291666855,2.12500094622374,
,,,-0.000250000189999999,-0.0757271554321051,0.153486160561442,,-0.000250000189999999,2.12500094622374,
,,,-0.000208333525,-0.0757271554321051,0.153486160561442,,-0.000208333525,2.12500094622374,
,,,-0.000166666859999999,-0.0757271554321051,0.153486160561442,,-0.000166666859999999,2.12500094622374,
,,,-0.000125000195,-0.0757271554321051,0.153486160561442,,-0.000125000195,2.12500094622374,
,,,-8.33335300000002E-05,-0.0757271554321051,0.153486160561442,,-8.33335300000002E-05,2.12500094622374,
,,,-4.16668649999997E-05,-0.0757271554321051,0.153486160561442,,-4.16668649999997E-05,2.12500094622374,
,,,-2.00000000068201E-10,7.59261304978281,1.00273238262162,,-2.00000000068201E-10,6.58593791443855,
,,,4.16664650000004E-05,7.58758792513981,0.926099217613228,,4.16664650000004E-05,6.65625040605664,
,,,8.333313E-05,7.59763817442581,0.927355499006808,,8.333313E-05,6.66406290512532,
,,,0.000124999795,7.6127135483548,0.927355499006808,,0.000124999795,6.67968790326267,
,,,0.00016666646,7.6227637976408,0.927355499006808,,0.00016666646,6.69140665186569,
,,,0.000208333125000001,7.6277889222838,0.928611780400388,,0.000208333125000001,6.69531290140003,
,,,0.00024999979,7.63783917156979,0.928611780400388,,0.00024999979,6.70312540046871,
,,,0.000291666455000001,7.64788942085579,0.928611780400388,,0.000291666455000001,6.71484414907172,
,,,0.00033333312,7.66798991942778,0.928611780400388,,0.00033333312,6.73437539674342,
,,,0.000374999785,7.67804016871378,0.931124343187548,,0.000374999785,6.74218789581209,
,,,0.00041666645,7.68809041799977,0.931124343187548,,0.00041666645,6.75000039488077,
